"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2008"	"2008"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	24	4718206	0.5
	"Alabama"	"01"	"2008"	"2008"	"All other alcohol-induced causes"	"A9"	226	4718206	4.8
	"Alabama"	"01"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O9"	46811	4718206	992.1
	"Alabama"	"01"	"2009"	"2009"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	537	4757938	11.3
	"Alabama"	"01"	"2009"	"2009"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	52	4757938	1.1
	"Alabama"	"01"	"2009"	"2009"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	38	4757938	0.8
	"Alabama"	"01"	"2009"	"2009"	"All other drug-induced causes"	"D9"	58	4757938	1.2
	"Alabama"	"01"	"2009"	"2009"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	15	4757938	Unreliable
	"Alabama"	"01"	"2009"	"2009"	"All other alcohol-induced causes"	"A9"	223	4757938	4.7
	"Alabama"	"01"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O9"	46544	4757938	978.2
	"Alabama"	"01"	"2010"	"2010"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	463	4779736	9.7
	"Alabama"	"01"	"2010"	"2010"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	54	4779736	1.1
	"Alabama"	"01"	"2010"	"2010"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	27	4779736	0.6
	"Alabama"	"01"	"2010"	"2010"	"All other drug-induced causes"	"D9"	38	4779736	0.8
	"Alabama"	"01"	"2010"	"2010"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	18	4779736	Unreliable
	"Alabama"	"01"	"2010"	"2010"	"All other alcohol-induced causes"	"A9"	249	4779736	5.2
	"Alabama"	"01"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O9"	47186	4779736	987.2
	"Alabama"	"01"	"2011"	"2011"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	485	4802740	10.1
	"Alabama"	"01"	"2011"	"2011"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	37	4802740	0.8
	"Alabama"	"01"	"2011"	"2011"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	26	4802740	0.5
	"Alabama"	"01"	"2011"	"2011"	"All other drug-induced causes"	"D9"	53	4802740	1.1
	"Alabama"	"01"	"2011"	"2011"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	26	4802740	0.5
	"Alabama"	"01"	"2011"	"2011"	"All other alcohol-induced causes"	"A9"	223	4802740	4.6
	"Alabama"	"01"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O9"	47827	4802740	995.8
	"Alabama"	"01"	"2012"	"2012"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	478	4822023	9.9
	"Alabama"	"01"	"2012"	"2012"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	57	4822023	1.2
	"Alabama"	"01"	"2012"	"2012"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	27	4822023	0.6
	"Alabama"	"01"	"2012"	"2012"	"All other drug-induced causes"	"D9"	70	4822023	1.5
	"Alabama"	"01"	"2012"	"2012"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	17	4822023	Unreliable
	"Alabama"	"01"	"2012"	"2012"	"All other alcohol-induced causes"	"A9"	263	4822023	5.5
	"Alabama"	"01"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O9"	48389	4822023	1003.5
	"Alabama"	"01"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	520	4833722	10.8
	"Alabama"	"01"	"2013"	"2013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	44	4833722	0.9
	"Alabama"	"01"	"2013"	"2013"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	34	4833722	0.7
	"Alabama"	"01"	"2013"	"2013"	"All other drug-induced causes"	"D9"	50	4833722	1.0
	"Alabama"	"01"	"2013"	"2013"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	19	4833722	Unreliable
	"Alabama"	"01"	"2013"	"2013"	"All other alcohol-induced causes"	"A9"	240	4833722	5.0
	"Alabama"	"01"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O9"	49282	4833722	1019.5
	"Alabama"	"01"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	639	4849377	13.2
	"Alabama"	"01"	"2014"	"2014"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	50	4849377	1.0
	"Alabama"	"01"	"2014"	"2014"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	33	4849377	0.7
	"Alabama"	"01"	"2014"	"2014"	"All other drug-induced causes"	"D9"	77	4849377	1.6
	"Alabama"	"01"	"2014"	"2014"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	22	4849377	0.5
	"Alabama"	"01"	"2014"	"2014"	"All other alcohol-induced causes"	"A9"	288	4849377	5.9
	"Alabama"	"01"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O9"	49105	4849377	1012.6
	"Alabama"	"01"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	657	4858979	13.5
	"Alabama"	"01"	"2015"	"2015"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	44	4858979	0.9
	"Alabama"	"01"	"2015"	"2015"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	35	4858979	0.7
	"Alabama"	"01"	"2015"	"2015"	"All other drug-induced causes"	"D9"	74	4858979	1.5
	"Alabama"	"01"	"2015"	"2015"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	29	4858979	0.6
	"Alabama"	"01"	"2015"	"2015"	"All other alcohol-induced causes"	"A9"	287	4858979	5.9
	"Alabama"	"01"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O9"	50783	4858979	1045.1
	"Alabama"	"01"	"2016"	"2016"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	680	4863300	14.0
	"Alabama"	"01"	"2016"	"2016"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	46	4863300	0.9
	"Alabama"	"01"	"2016"	"2016"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	28	4863300	0.6
	"Alabama"	"01"	"2016"	"2016"	"All other drug-induced causes"	"D9"	99	4863300	2.0
	"Alabama"	"01"	"2016"	"2016"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	33	4863300	0.7
	"Alabama"	"01"	"2016"	"2016"	"All other alcohol-induced causes"	"A9"	362	4863300	7.4
	"Alabama"	"01"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O9"	51216	4863300	1053.1
	"Alaska"	"02"	"1999"	"1999"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	27	624779	4.3
	"Alaska"	"02"	"1999"	"1999"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	10	624779	Unreliable
	"Alaska"	"02"	"1999"	"1999"	"All other drug-induced causes"	"D9"	10	624779	Unreliable
	"Alaska"	"02"	"1999"	"1999"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	14	624779	Unreliable
	"Alaska"	"02"	"1999"	"1999"	"All other alcohol-induced causes"	"A9"	80	624779	12.8
	"Alaska"	"02"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O9"	2558	624779	409.4
	"Alaska"	"02"	"2000"	"2000"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	36	626932	5.7
	"Alaska"	"02"	"2000"	"2000"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	14	626932	Unreliable
	"Alaska"	"02"	"2000"	"2000"	"All other alcohol-induced causes"	"A9"	88	626932	14.0
	"Alaska"	"02"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O9"	2758	626932	439.9
	"Alaska"	"02"	"2001"	"2001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	53	633714	8.4
	"Alaska"	"02"	"2001"	"2001"	"All other drug-induced causes"	"D9"	10	633714	Unreliable
	"Alaska"	"02"	"2001"	"2001"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	11	633714	Unreliable
	"Alaska"	"02"	"2001"	"2001"	"All other alcohol-induced causes"	"A9"	109	633714	17.2
	"Alaska"	"02"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O9"	2782	633714	439.0
	"Alaska"	"02"	"2002"	"2002"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	69	642337	10.7
	"Alaska"	"02"	"2002"	"2002"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	12	642337	Unreliable
	"Alaska"	"02"	"2002"	"2002"	"All other alcohol-induced causes"	"A9"	118	642337	18.4
	"Alaska"	"02"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O9"	2820	642337	439.0
	"Alaska"	"02"	"2003"	"2003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	72	648414	11.1
	"Alaska"	"02"	"2003"	"2003"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	10	648414	Unreliable
	"Alaska"	"02"	"2003"	"2003"	"All other alcohol-induced causes"	"A9"	120	648414	18.5
	"Alaska"	"02"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O9"	2972	648414	458.3
	"Alaska"	"02"	"2004"	"2004"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	64	659286	9.7
	"Alaska"	"02"	"2004"	"2004"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	16	659286	Unreliable
	"Alaska"	"02"	"2004"	"2004"	"All other alcohol-induced causes"	"A9"	102	659286	15.5
	"Alaska"	"02"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O9"	2855	659286	433.0
	"Alaska"	"02"	"2005"	"2005"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	62	666946	9.3
	"Alaska"	"02"	"2005"	"2005"	"All other alcohol-induced causes"	"A9"	120	666946	18.0
	"Alaska"	"02"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O9"	2962	666946	444.1
	"Alaska"	"02"	"2006"	"2006"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	66	675302	9.8
	"Alaska"	"02"	"2006"	"2006"	"All other alcohol-induced causes"	"A9"	135	675302	20.0
	"Alaska"	"02"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O9"	3126	675302	462.9
	"Alaska"	"02"	"2007"	"2007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	63	680300	9.3
	"Alaska"	"02"	"2007"	"2007"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	21	680300	3.1
	"Alaska"	"02"	"2007"	"2007"	"All other alcohol-induced causes"	"A9"	123	680300	18.1
	"Alaska"	"02"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O9"	3244	680300	476.8
	"Alaska"	"02"	"2008"	"2008"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	91	687455	13.2
	"Alaska"	"02"	"2008"	"2008"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	13	687455	Unreliable
	"Alaska"	"02"	"2008"	"2008"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	23	687455	3.3
	"Alaska"	"02"	"2008"	"2008"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	32	687455	4.7
	"Alaska"	"02"	"2008"	"2008"	"All other alcohol-induced causes"	"A9"	115	687455	16.7
	"Alaska"	"02"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O9"	3215	687455	467.7
	"Alaska"	"02"	"2009"	"2009"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	101	698895	14.5
	"Alaska"	"02"	"2009"	"2009"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	21	698895	3.0
	"Alaska"	"02"	"2009"	"2009"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	28	698895	4.0
	"Alaska"	"02"	"2009"	"2009"	"All other alcohol-induced causes"	"A9"	121	698895	17.3
	"Alaska"	"02"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O9"	3336	698895	477.3
	"Alaska"	"02"	"2010"	"2010"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	74	710231	10.4
	"Alaska"	"02"	"2010"	"2010"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	35	710231	4.9
	"Alaska"	"02"	"2010"	"2010"	"All other alcohol-induced causes"	"A9"	87	710231	12.2
	"Alaska"	"02"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O9"	3522	710231	495.9
	"Alaska"	"02"	"2011"	"2011"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	97	722718	13.4
	"Alaska"	"02"	"2011"	"2011"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	31	722718	4.3
	"Alaska"	"02"	"2011"	"2011"	"All other alcohol-induced causes"	"A9"	100	722718	13.8
	"Alaska"	"02"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O9"	3611	722718	499.6
	"Alaska"	"02"	"2012"	"2012"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	113	731449	15.4
	"Alaska"	"02"	"2012"	"2012"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	16	731449	Unreliable
	"Alaska"	"02"	"2012"	"2012"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	16	731449	Unreliable
	"Alaska"	"02"	"2012"	"2012"	"All other alcohol-induced causes"	"A9"	106	731449	14.5
	"Alaska"	"02"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O9"	3658	731449	500.1
	"Alaska"	"02"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	92	735132	12.5
	"Alaska"	"02"	"2013"	"2013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	12	735132	Unreliable
	"Alaska"	"02"	"2013"	"2013"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	31	735132	4.2
	"Alaska"	"02"	"2013"	"2013"	"All other alcohol-induced causes"	"A9"	95	735132	12.9
	"Alaska"	"02"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O9"	3761	735132	511.6
	"Alaska"	"02"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	103	736732	14.0
	"Alaska"	"02"	"2014"	"2014"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	16	736732	Unreliable
	"Alaska"	"02"	"2014"	"2014"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	29	736732	3.9
	"Alaska"	"02"	"2014"	"2014"	"All other alcohol-induced causes"	"A9"	110	736732	14.9
	"Alaska"	"02"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O9"	3862	736732	524.2
	"Alaska"	"02"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	105	738432	14.2
	"Alaska"	"02"	"2015"	"2015"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	10	738432	Unreliable
	"Alaska"	"02"	"2015"	"2015"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	28	738432	3.8
	"Alaska"	"02"	"2015"	"2015"	"All other alcohol-induced causes"	"A9"	133	738432	18.0
	"Alaska"	"02"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O9"	4028	738432	545.5
	"Alaska"	"02"	"2016"	"2016"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	103	741894	13.9
	"Alaska"	"02"	"2016"	"2016"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	16	741894	Unreliable
	"Alaska"	"02"	"2016"	"2016"	"All other drug-induced causes"	"D9"	10	741894	Unreliable
	"Alaska"	"02"	"2016"	"2016"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	25	741894	3.4
	"Alaska"	"02"	"2016"	"2016"	"All other alcohol-induced causes"	"A9"	158	741894	21.3
	"Alaska"	"02"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O9"	4173	741894	562.5
	"Arizona"	"04"	"1999"	"1999"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	362	5023823	7.2
	"Arizona"	"04"	"1999"	"1999"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	112	5023823	2.2
	"Arizona"	"04"	"1999"	"1999"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	36	5023823	0.7
	"Arizona"	"04"	"1999"	"1999"	"All other drug-induced causes"	"D9"	46	5023823	0.9
	"Arizona"	"04"	"1999"	"1999"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	11	5023823	Unreliable
	"Arizona"	"04"	"1999"	"1999"	"All other alcohol-induced causes"	"A9"	457	5023823	9.1
	"Arizona"	"04"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O9"	39025	5023823	776.8
	"Arizona"	"04"	"2000"	"2000"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	399	5130632	7.8
	"Arizona"	"04"	"2000"	"2000"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	91	5130632	1.8
	"Arizona"	"04"	"2000"	"2000"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	32	5130632	0.6
	"Arizona"	"04"	"2000"	"2000"	"All other drug-induced causes"	"D9"	37	5130632	0.7
	"Arizona"	"04"	"2000"	"2000"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	11	5130632	Unreliable
	"Arizona"	"04"	"2000"	"2000"	"All other alcohol-induced causes"	"A9"	461	5130632	9.0
	"Arizona"	"04"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O9"	39469	5130632	769.3
	"Arizona"	"04"	"2001"	"2001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	429	5273477	8.1
	"Arizona"	"04"	"2001"	"2001"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	80	5273477	1.5
	"Arizona"	"04"	"2001"	"2001"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	40	5273477	0.8
	"Arizona"	"04"	"2001"	"2001"	"All other drug-induced causes"	"D9"	46	5273477	0.9
	"Arizona"	"04"	"2001"	"2001"	"All other alcohol-induced causes"	"A9"	444	5273477	8.4
	"Arizona"	"04"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O9"	40010	5273477	758.7
	"Arizona"	"04"	"2002"	"2002"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	464	5396255	8.6
	"Arizona"	"04"	"2002"	"2002"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	110	5396255	2.0
	"Arizona"	"04"	"2002"	"2002"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	48	5396255	0.9
	"Arizona"	"04"	"2002"	"2002"	"All other drug-induced causes"	"D9"	43	5396255	0.8
	"Arizona"	"04"	"2002"	"2002"	"All other alcohol-induced causes"	"A9"	507	5396255	9.4
	"Arizona"	"04"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O9"	41634	5396255	771.5
	"Arizona"	"04"	"2003"	"2003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	512	5510364	9.3
	"Arizona"	"04"	"2003"	"2003"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	106	5510364	1.9
	"Arizona"	"04"	"2003"	"2003"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	55	5510364	1.0
	"Arizona"	"04"	"2003"	"2003"	"All other drug-induced causes"	"D9"	65	5510364	1.2
	"Arizona"	"04"	"2003"	"2003"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	10	5510364	Unreliable
	"Arizona"	"04"	"2003"	"2003"	"All other alcohol-induced causes"	"A9"	562	5510364	10.2
	"Arizona"	"04"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O9"	42081	5510364	763.7
	"Arizona"	"04"	"2004"	"2004"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	549	5652404	9.7
	"Arizona"	"04"	"2004"	"2004"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	123	5652404	2.2
